"","location"
"1","The quarter’s quirky status made it a boomtown, but a planned road threatens todrive people out of their homes."
"2","The U.S. recognition of Jerusalem as Israel’s capital deals a blow to an aspiration of the Arab world. But for many Arab leaders, the issue has been displaced by other priorities."
"3","All but two of the 11 former envoys said the decision — a departure from seven decades of U.S. policy — was foolish and even dangerous."
"4","Leaders including the pope and the head of the United Nations expressed alarm at President Trump’s declaration on Jerusalem."
"5","Ignoring warnings from diplomats around the world, President Trump reverses decades of American policy toward the contested city."
"6","The United States, which has often castigated other countries for ignoring Security Council resolutions, could now face the same criticism."
"7","A century after they died, the Indian soldiers buried in my Jerusalem neighborhood offer a powerful lesson about war."
"8","A plan that the Saudi crown prince was said to foist on the Palestinians would offer them limited sovereignty and deny them Jerusalem as the capital."
"9","I’ve never seen a president give up so much to so many for so little."
"10","The president seemed to relish playing a familiar role: the political insurgent, defying foreign policy orthodoxy on behalf of the people who elected him."
"11","At a Middle East policy conference, Mr. Kushner said he was optimistic, despite tension over President Trump’s reported plans to recognize Jerusalem as Israel’s capital."
"12","Arabs and Israelis alike were impatient to see whether Mr. Trump would really declare Jerusalem the capital of Israel and how he might hedge it."
"13","Global and regional leaders warned of the dangers of declaring Jerusalem as Israel’s capital. President Trump announced the change on Wednesday."
"14","Why President Trump might be risking hopes of an Israeli-Palestinian deal. Also, how Harvey Weinstein used his connections to cover up misconduct accusations."
"15","Igniting fears of violence in the region, President Trump’s decision could derail any peace initiative, Arab and European leaders warn."
"16","The Times would like to hear your stories about your family’s life in Jerusalem or about your own visits or life there."
"17","The city has long been contested by Jews, Christians and Muslims, as well as by external powers, and its future remains far from clear."
"18","When President Trump formally recognized Jerusalem as Israel’s capital, one man who was probably smiling was the Republican mega-donor Sheldon Adelson. Here’s a look at how he became influential within the Trump administration."
"19","There are better ways to respond to Iran’s attempts to spread its influence."
"20","President Trump has recognized Jerusalem as the capital of Israel. The decision bucks nearly seven decades of American foreign policy."
"21","President Trump officially recognized Jerusalem as the capital of Israel on Wednesday, reversing decades of American foreign policy."
"22","President Trump is going to formalize what all Israelis know."
"23","Mr. Macron joined leaders from Jordan, Egypt, Turkey and the Arab League in speaking out against the move, which would overturn decades of American policy."
"24","Sampling the reaction to the president’s announcement."
"25","While some Jewish leaders welcomed recognition of Jerusalem as Israel’s capital, many worried that the step would inflame tensions and make peace in the Middle East even harder to achieve."
"26","Before an announcement expected to recognize Jerusalem as Israel’s capital, Secretary of State Rex Tillerson expressed reassurances about the consequences of the decision."
"27","Moving the American Embassy to Jerusalem is almost certain to anger the Palestinians and most Arab nations."
"28","The Palestinian issue seems to no longer be at the top of the agenda for many Arab leaders. Also, what it’s like to visit the Saudi crown prince."
"29","President Trump declared recognition of Jerusalem as Israel’s capital. Here’s why that’s so fraught."
"30","A transcript of President Donald Trump's remarks about formally recognizing Jerusalem as Israel's capital, as delivered at the White House Wednesday."
"31","President Trump formally recognized Jerusalem as the capital of Israel and announced a plan to move the U.S. Embassy from Tel Aviv to the fiercely contested city."
"32","The president broke with nearly seven decades of American foreign policy."
"33","Hamas called for a new intifada, protests erupted across the Middle East, and Arab and European leaders condemned Trump’s move."
"34","The president is trying to appease evangelical supporters and powerful Jewish donors even as he works to avoid derailing his administration’s peace efforts."
"35","Muslims across the Middle East warned Wednesday of disastrous consequences after President Donald Trump recognized Jerusalem as Israel's capital, but in a region more divided than ever, many asked what leaders can do beyond the vehement rhetoric."
"36","Here’s what you need to know to start your day."
"37","Here’s what you need to know to start your day."
"38","The European Union expressed serious concern on Wednesday after U.S. President Donald Trump recognized Jerusalem as the capital of Israel, saying it could have repercussions for peace prospects."
"39","French President Emmanuel Macron said on Wednesday he did not support U.S. President Donald Trump's ""unilateral"" decision to recognize Jerusalem as Israel's capital and called for calm across the region."
"40","Nearly two years ago, novice presidential candidate Donald Trump was booed by a group of influential Jewish Republicans when he punted a question about whether he backed Jerusalem as Israel's capital."
"41","America's friends and foes unleashed fierce criticism on Wednesday ahead of President Donald Trump's announcement recognizing Jerusalem as Israel's capital."
"42","Here’s what you need to know to start your day."
"43","Nearly two years ago, novice presidential candidate Donald Trump was booed by a group of influential Jewish Republicans when he punted a question about whether he backed Jerusalem as Israel's capital."
"44","French President Emmanuel Macron said on Wednesday he did not support U.S. President Donald Trump's ""unilateral"" decision to recognize Jerusalem as Israel's capital and called for calm across the region."
"45","Here’s what you need to know to start your day."
"46","Germany does not support the Trump administration's decision to recognize Jerusalem as Israel's capital, German Chancellor Angela Merkel said on Wednesday."
"47","President Donald Trump is considering recognizing Jerusalem as Israel's capital, a highly charged declaration that risks inflaming tensions across the Middle East, officials said Thursday. The announcement would be a way to offset a likely decisio..."
"48","Here’s what you need to know to start your day."
"49","The Palestinian president on Sunday warned that American recognition of Jerusalem as Israel's capital would jeopardize the White House's nascent Mideast peace efforts."
"50","The Latest on President Donald Trump's decision on recognizing Jerusalem as Israel's capital (all times EST):"
"51","An Israeli minister said moving the U.S. Embassy to Jerusalem would be “destiny.” The leader of Hamas called it “an unaccountable gamble.”"
"52","The dramatic U.S. policy shift on contested Jerusalem is seen by the Western-backed Palestinian leadership as a dangerous betrayal and game changer that is bound to propel them into a risky confrontation with the U.S. and Israel on the global stag..."
"53","Arabs denounced President Donald Trump's plan to move the U.S. embassy in Israel to Jerusalem as a slap in the face but few thought their governments would do much in response."
"54","U.S. President Donald Trump is undermining international stability with his decision to recognise Jerusalem as Israel's capital and move the U.S. embassy there, the leader of Germany's Social Democrats (SPD) said on Wednesday."
"55","The Palestinians are warning the United States against recognizing Jerusalem as the capital of Israel."
"56","Francine Klagsbrun’s “Lioness” re-examines the beloved prime minister’s legacy."
"57","President Donald Trump said on Wednesday his decision to recognize Jerusalem as the capital of Israel is long overdue."
"58","Black Cube, hired to ferret out information on a Weinstein accuser, used an elaborate ruse involving a fake job interview in another case."
"59","British Foreign Secretary Boris Johnson said on Thursday U.S. recognition of Jerusalem as Israel's capital was ""not helpful"" and that the world would like to see some serious announcements from President Donald Trump on how to resolve Middle Easte..."
"60","Israeli Prime Minister Benjamin Netanyahu said on Thursday many countries would follow the United States in recognising Jerusalem as Israel's capital and contacts were underway."
"61","It's a go-to catchphrase when U.S. Secretary of State Rex Tillerson is called on to explain his boss on the world stage: ""America first is not America alone."" Yet as President Donald Trump declared Jerusalem the capital of Israel, Tillerson on Wed..."
"62","The Arab League is to hold an emergency meeting on Saturday on U.S. plans to recognize Jerusalem as the capital of Israel, the head of the Palestinian delegation to the body said on Wednesday."
"63","U.S. President Donald Trump would effectively be making a declaration of war if he recognizes Jerusalem as Israel's capital, the Palestinians' chief representative to Britain said on Wednesday."
"64","A formal U.S. recognition of Jerusalem as the capital of Israel would cause catastrophe and lead to new conflict in the Middle East, Turkish Deputy Prime Minister Bekir Bozdag said on Monday."
"65","Islamist militant group Al Qaeda in the Arabian Peninsula (AQAP) has condemned the U.S. decision to recognize Jerusalem as Israel's capital and called on militants to close ranks to support Palestinians."
"66","The Israeli military said it was reinforcing troops deployed in the occupied West Bank on Thursday as Palestinians protested against the U.S. recognition of Jerusalem as Israel's capital."
"67","The United Nations Security Council will meet on Friday at the request of eight states on the 15-member body over U.S. President Donald Trump's decision to recognize Jerusalem as the capital of Israel, diplomats said on Wednesday. "
"68","President Donald Trump on Wednesday reversed decades of U.S. policy and recognized Jerusalem as the capital of Israel, imperiling Middle East peace efforts and upsetting the Arab world and Western allies alike."
"69","Thousands of Tunisians protested in several cities on Thursday against U.S. President Donald Trump's recognition of Jerusalem as Israel's capital and decision to move the U.S. Embassy there, residents said."
"70","It is rare and perhaps unique for the world to interfere with a country's choice of its own capital. But that is far from the only unusual thing about Jerusalem."
"71","Pope Francis called on Wednesday for the status quo of Jerusalem to be respected and for ""wisdom and prudence"" to prevail to avoid further conflict, hours before the expected announcement that the United States is recognizing Jerusalem as Israel's..."
"72","The Palestinian cause will stay alive among Arabs until the establishment of a Palestinian state with Jerusalem as its capital, the Syrian president's office said on Wednesday in response to U.S. President Donald Trump's Jerusalem decision. "
"73","Islamist militant group Al Qaeda in the Arabian Peninsula (AQAP) has condemned the U.S. decision to recognize Jerusalem as Israel's capital and called on militants to close ranks to support Palestinians."
"74","The Israeli military said it was reinforcing troops deployed in the occupied West Bank on Thursday as Palestinians protested against the U.S. recognition of Jerusalem as Israel's capital."
"75","The United Nations Security Council will meet on Friday at the request of eight states on the 15-member body over U.S. President Donald Trump's decision to recognize Jerusalem as the capital of Israel, diplomats said on Wednesday. "
"76","President Donald Trump on Wednesday reversed decades of U.S. policy and recognized Jerusalem as the capital of Israel, imperiling Middle East peace efforts and upsetting the Arab world and Western allies alike."
"77","Jordan on Wednesday rejected the U.S. decision to recognize Jerusalem as the capital of Israel, calling it legally ""null"" because it consolidated Israel's occupation of the eastern sector of the contested city."
"78","Indonesian President Joko Widodo, leader of the world's largest Muslim-majority nation, onThursday condemned the U.S. decision to recognize Jerusalem as Israel's capital."
"79","The Latest on a possible U.S. decision to recognize Jerusalem as Israel's capital (all times local):"
"80","Iraq demanded on Thursday that the U.S. government backtrack on a decision to recognize Jerusalem as Israel's capital and summoned the U.S. ambassador in Baghdad to protest the decision."
"81","Jerusalem holds deep religious significance for Jews, Muslims and Christians, heightening the stakes for President Donald Trump's decision to recognize the city as Israel's capital."
"82","Iraq demanded on Thursday that the U.S. government backtrack on a decision to recognize Jerusalem as Israel's capital and summoned the U.S. ambassador in Baghdad to protest the decision."
"83","The United Nations Security Council will meet on Friday at the request of eight states on the 15-member body over U.S. President Donald Trump's decision to recognise Jerusalem as the capital of Israel, diplomats said on Wednesday. "
"84","The Latest on the fallout from President Donald Trump's recognition of Jerusalem as Israel's capital (all times local):"
"85","The United Arab Emirates has denounced the U.S. decision to recognize Jerusalem as the capital of Israel, state news agency WAM reported on Thursday, citing a foreign ministry statement."
"86","President Donald Trump announced on Wednesday that the United States recognises Jerusalem as the capital of Israel and that it will move its embassy to the holy city. "
"87","Turkey's foreign ministry on Wednesday condemned a decision by the United States to recognize Jerusalem as the capital of Israel as ""irresponsible"" and called on Washington to reconsider the move."
"88","Germany is concerned that violent clashes could erupt in the Middle East following reports that U.S. President Donald Trump would recognise Jerusalem as Israel's capital, its Foreign Ministry said on Wednesday."
"89","It’s not too late to reverse it."
"90","In the 50 years since Israel captured Jerusalem, the rhetoric of leaders in the Middle East has reflected the deep division over the fate of the city. Jerusalem remains at the heart of the conflict in the region."
"91","Germany is concerned that violent clashes could erupt in the Middle East following reports that U.S. President Donald Trump would recognise Jerusalem as Israel's capital, its Foreign Ministry said on Wednesday."
"92","French President Emmanuel Macron told U.S. President Donald Trump on Monday that he was worried about the possibility that the United States could unilaterally recognize Jerusalem as the capital of Israel, Macron's office said in a statement."
"93","Israeli officials on Thursday declared victory in a battle over semantics surrounding the upcoming Giro d'Italia, saying it had persuaded the cycling event to remove any reference to ""West Jerusalem"" from their website."
"94","Palestinian officials are fuming over the Giro d'Italia's decision to remove references to ""West Jerusalem"" from its website about next year's race following pressure from Israel."
"95","As dark falls, Adeeb Joudeh, a Muslim, makes his way through the stone alleyways of Jerusalem's walled Old City cradling the ancient key to one of Christianity's holiest sites."
"96","U.S. President Donald Trump's recognition of Jerusalem as the capital of Israel has complicated the situation in the Middle East and is causing a split in the international community, Kremlin spokesman Dmitry Peskov told reporters on Thursday."
"97","It is rare and perhaps unique for the world to interfere with a country's choice of its own capital. But that is far from the only unusual thing about Jerusalem."
"98","President Donald Trump shattered decades of unwavering U.S. neutrality on Jerusalem Wednesday, declaring the sorely divided holy city as Israel's capital and sparking frustrated Palestinians to cry out that he had destroyed already-fragile Mideast..."
"99","Here’s what you need to know to start your day."
"100","President Donald Trump spoke separately on Tuesday with five Middle East leaders about ""potential decisions regarding Jerusalem"" amid reports he plans to move the U.S. Embassy to the city, the White House said in a statement."
"101","President Tayyip Erdogan said on Tuesday Turkey could go as far as breaking off diplomatic ties with Israel if the United States formally recognises Jerusalem as the Israeli capital, a move he said would be a ""red line"" for Muslims."
"102","President Donald Trump will recognize Jerusalem as Israel's capital on Wednesday despite intense Arab, Muslim and European opposition to a move that would upend decades of U.S. policy and risk potentially violent protests."
"103","Here’s what you need to know to start your day."
"104","Algeria is deeply concerned about a U.S. decision to recognize Jerusalem as Israel's capital, saying it was a blatant violation of U.N. Security Council resolutions, state news agency APS said on Wednesday."
"105","Nearly two years ago, novice presidential candidate Donald Trump was booed by a group of influential Jewish Republicans when he punted a question about whether he backed Jerusalem as Israel's capital."
"106","President Donald Trump's recognition of Jerusalem as Israel's capital on Wednesday could have deep repercussions across the region."
"107","Jordan has begun consultations on convening an emergency meeting of the Arab League and the Organisation of Islamic Cooperation before an expected move this week by U.S. President Donald Trump to recognize Jerusalem as Israel's capital, a senior J..."
"108","President Donald Trump is considering recognizing Jerusalem as Israel's capital, officials say, a highly charged declaration that risks inflaming tensions across the Middle East but would be a way to offset a likely decision delaying his campaign ..."
"109","The EU's top diplomat pledged on Thursday to reinvigorate diplomacy with Russia, the United States, Jordan and others to ensure Palestinians have a capital in Jerusalem after U.S. President Donald Trump recognized the city as Israel's capital."
"110","The Islamist group Hamas urged Palestinians on Thursday to abandon peace efforts and launch a new uprising against Israel in response to U.S. President Donald Trump's recognition of Jerusalem as its capital."
"111","Iraq's senior shi'ite cleric Grand Ayatollah Ali al-Sistani condemned on Thursday U.S. President Donald Trump's decision to recognize Jerusalem as Israel's capital."
"112","Qatar's foreign minister said on Wednesday U.S. President Donald Trump's decision to recognize Jerusalem as the capital of Israel was a death sentence for all who seek peace, Qatari-owned Al Jazeera television reported."
