"","organization"
"1","A Düsseldorf museum had long planned the exhibit to pay homage to Max Stern, a Jewish gallerist who was forced to sell his art works and flee in 1938."
"2","In a story Dec. 1 about a push for legislation to protect young immigrants, The Associated Press erroneously spelled the last name of Rep. Mark Amodei."
"3","A reader suggests a way to recoup taxpayer money used in settlements."
"4","We used to blame both parties for our poisonous political environment. Not anymore."
"5","Democratic Rep. John Conyers resigned from Congress on Tuesday after a nearly 53-year career, becoming the first Capitol Hill politician to lose his job in the torrent of sexual misconduct allegations sweeping through the nation's workplaces."
"6","As allegations of sexual misconduct against powerful lawmakers roil Congress, House Democrats on Thursday delivered their strongest rebuke yet with calls for Michigan Rep. John Conyers' resignation, while those in the Senate reserved judgment for ..."
"7","As allegations of sexual misconduct against powerful lawmakers roil Congress, House Democrats on Thursday delivered their strongest rebuke yet with calls for Michigan Rep. John Conyers' resignation, while those in the Senate reserved judgment for ..."
"8","In a story Nov. 29 about sexual harassment claims against U.S. Rep. John Conyers, The Associated Press misspelled the name of a congressman who suggested Conyers should resign. He is U.S. Rep. Earl Blumenauer, not Blumenhauer."
"9","Readers discuss allowing churches to electioneer, cutting corporate taxes, eliminating a tax credit for teachers and more."
"10","Paraguay's Congress passed a bill on Tuesday creating a state-sponsored system to import marijuana seeds and grow the plant for medical uses, a decision that followed other countries in Latin America."
"11","The U.S. Congress moved rapidly on Thursday to send President Donald Trump a short-term funding bill to avert a government shutdown this weekend, leaving fights over budget priorities and a range of other controversial issues for the coming weeks."
"12","Congress faces much unfinished business this month. Working around Mr. Trump would help them get it done."
"13","The mayor of Kentucky's second-largest city is running for Congress."
"14","A clown elected twice to Brazil's Congress under the slogan ""It can't get any worse"" apparently feels that it did. He says he is too embarrassed by his fellow lawmakers to run again."
"15","The U.S. Congress, rushing to beat a Friday midnight deadline, on Thursday passed legislation funding the government through Dec. 22."
"16","Democrat John Conyers, the longest serving member of the U.S. House of Representatives, stepped down on Tuesday after multiple accusations of sexual misconduct, the first member of Congress to leave his seat during a wave of high-profile harassmen..."
"17","The most senior member of Congress, Representative John Conyers Jr., 88, announced that he was retiring immediately, and he endorsed his son, John Conyers III, to replace him."
"18","U.S. Democratic Senator Al Franken announced his resignation on Thursday after facing a series of sexual misconduct allegations, and Republican Representative Trent Franks also said he was stepping down as he too was hit with ethics charges."
"19","The U.S. Congress may be able to wrap up tax negotiations before Dec. 22 and send a final bill to President Donald Trump, Republican Senator John Cornyn said on Wednesday."
