"","tweet"
"1","In the future, I will not be flying Frontier unless I absolutely have to."
"2","RT @MboyaApollo: @orengo_james @NelsonHavi  I have been informed that three people have been dispatched to target me"
"3","Politics of peace /VoFaLiKusT"
"4","RT @KnightOfRemains: I get jealous a lot because I feel easily replaceable"
"5","@RachelintheOC I love what you've done with the place!"
"6","RT @Nothinbuttreble: I'm sitting here trying to imagine my momma refusing to sign my homework."
"7","Syrina from Aylesbury - Ace Of Jacks Shoutout on /vKEyYTY1ox"
"8","RT @PrettyZephyr: Waiting for the Job call/email this month. Lord do your thing."
"9","First they sleep on the concept from the start but later on they realize that it's a cool one. And They start imita /Mg9ggz7V9I"
"10","Hi @chitraSD, Really??? Jairaj, Kotwal Ramachandra, Oil Kumar are KGB like brigade??? once Bangalore Underwold is K /N4tAcTnrDg"
"11","Slowwww"
"12","RT @LovellLowdown: @barneyronay @Chris78Williams @BBCRadio2 According to @Bild Jrgen Klopp has garnered some new hair and shiny teeth sinc"
"13","RT @The_ment0rs: Sometimes music speaks what you feel inside."
"14","RT @samreen_nida: Protest happening in Malaysia right now! #jerusalem /FZYTIBmFvg"
"15","RT @iluvmyyorkiees:  Good morning lovelies  Smiling make you happy, so why not be the reason someone smiles today  #BeHappy  https://"
"16","@Isaiah_Chavez96 THANK U !!"
"17","@FrankyIsFranky Novel idea. Imagine that. "
"18","RT @ktjj_: Dude came into class 20 mins before its over and says sorry I was in jail"
"19","How to Camp: A Beginner's Guide /ilaIrNmoja"
"20","RT @shas_19_: @TravelVSCO This is Palestine "
"21","never will i forget the time people argued with me being bi bc to them its unfair that bisexuals could come off as /eumMYIetRg"
"22","RT @GirlfriendNotes: Me when I hear the couple next door arguing. /9oX0wjbDav"
"23","RT @elonmusk: @FortuneTech Do it"
"24","RT @chibi_jeonkook: The truth isWe don't deserve Jungkook..He's too good for this cruel world that we live in #WeLoveJungkook"
"25","RT @delmiyaa: After a break up /CrTzdkJ7Bk"
"26","@PlushieCS You are a naive child. Do you really believe real women can escape sexism by not buying into gender roles?"
"27","@HelpingFriendQ I deposit knife and T train"
"28","@KarinOslo @avmiikkulainen It's Christmas so we have to mix it up a little "
"29","RT @Park_loey: When will i be able to learn swimming and do shit like this  /dV1S9ceuSe"
"30","You say Im crazy... cause you dont think I know what youve done"
"31","RT @theeZane: When this first dropped /1oagxnLBF4"
"32","RT @davidschneider: Brexit summary: Any deal is better than no deal."
"33","@SlyFoxZPD @SlyBunnyZPD Ahhhh! I love it!"
"34","RT @sophiachiari: my sisters best friend was taking a video of herself dancing and dislocated her knee while hitting the folks. her brother"
"35","RT @BankingTechno: App security platform @Prevoty raises $13m in Series B #funding: /7FPjPab6Wk #fintech #cybersecurity #bankin"
"36","2 people unfollowed me // automatically checked by /FLlcq22bbW"
"37","RT @Doomric: Put $14.00 into bitcoin last Thursday sitting on $22.00 now lmaoo idk how yall do that 9-5 shit"
"38","@Kevin_Maguire Advertisers can decide where to advertise &amp; should consider if the publications they do partner with /c9B1fxyWmp"
"39","RT @GoAwayWithJae: When I was in Korea recently, I was set to interview a well known idol who's signed to one of the ""Big Three."" The agenc"
"40","Its called natural confidence and I love it. /nlPvf6q7u1"
