"","location"
"1","RT @JerryFalwellJr: Other presidents have supported recognizing Jerusalem as the capital of Israel.  Only @realDonaldTrump @POTUS had the g"
"2","RT @shknhrdy: we muslims, are not terrorist. were only trying to protect the holy city, Jerusalem that has been the capital of Palestine s"
"3","We as a nation are ao intelligent that its Trump who recognised Jerusalem as Israel capital but mullahs are going t /ezCDelWc4E"
"4","RT @Discover_MENA: Jerusalem is the capital of Palestine /Bqp5rEkwLg"
"5","RT @ChuckGrassley: Since 1995 it's been US policy for Jerusalem to be Capital bc congress law Clinton Bush Obama no guts to implement Trump"
"6","RT @faizal_tahir: Yesterday: Trump recognises Jerusalem as capital of Israel. Today: Jumah khutbah talks about asal usul Melayu dan raja"
"7","RT @CollinRugg: List of people who are mad that Trump is declaring that Jerusalem is the capital of Israel.1. Terrorists2. LiberalsWhy"
"8","RT @arvindneela: Why It Is Incumbent Upon India To Recognise Jerusalem As The Capital Of Israel: from ancient Cheras to Shivaji's Hindavi S"
"9","@realDonaldTrump Well done for putting the security of Jerusalem and Gaza in jeapordy. You truly are a moron. #ImpeachTrump"
"10","RT @PressTV: Watch: #Israeli flag burned in #Egypt after President @realDonaldTrump s decision on #Jerusalem #alQuds. /dPr1tpF"
"11","RT @ricfouad: Among vanishingly rare *Palestinian* voices last night, @rulajebreal spoke w @chrislhayes on @allinwithchris abt #JerusalemEm"
"12","RT @netanyahu: This is a historic day. Jerusalem has been the capital of Israel for nearly 70 years. Jerusalem has been the focus of our ho"
"13","RT @kerr_steve: How would you feel if this happened to your country? #Jerusalem #JerusalemEmbassy #Palestine #FreePalestine #Israel htt"
"14","RT @SafetyPinDaily: Why evangelicals are 'ecstatic' about Trump's Jerusalem move   |Via CNNPolitics /oNJB29ASxZ"
"15","RT @bencnn: Entire front page of Beiruts Daily Star. #Jerusalem /5UkdxXCkkF"
"16","RT @ImranKhanPTI: Trump's plan to shift US embassy in Israel to Jerusalem is contrary to all UN resolutions &amp; is an attempt to deliberately"
"17","Jerusalem Declaration: Its a New Balfour Declaration, says Hezbollah /kSeomXnzh5"
"18","RT @aniz_mardhiah: #Israel is a fake state #Jerusalem is the capital of #Palestine #Retweet if you agree /7ymNQhP6Z8"
"19","RT @MSuchkov_ALM: About 2 hours ago #Putin spoke on the phone w #Erdogan about #Trump's  #Jerusalem recognition: ""Both [#Russia &amp; #Turkey]"
"20","RT @Cofvef: #JerusalemEmbassyThank you @POTUS For keeping yet another campaign promise! Bible says: ""for whosoever blesses you I w"
"21","RT @Jim_Jordan: The US embassy should be in Jerusalem. It is only right to acknowledge the capitol of Israel. Many have promised to do this"
"22","RT @aniz_mardhiah: #Israel is a fake state #Jerusalem is the capital of #Palestine #Retweet if you agree /7ymNQhP6Z8"
"23","RT @Discover_MENA: Jerusalem is the capital of Palestine /Bqp5rEkwLg"
"24","RT @lion_faisal: Protesters in Pakistan demanding this ..#Palestine #Israel Trump #Jerusalem /56e62ZBrau"
"25","RT @DarthPutinKGB: Trump recognizing Jerusalem as the capital will increase the risk of a Mid East war, drive the oil price up and save our"
"26","RT @MudasirMohammah: We will never forget Masjid Al Aqsa, Jerusalem!May Allah free it from the tyrants. /4TaZXIftD6"
"27","RT @faizal_tahir: Yesterday: Trump recognises Jerusalem as capital of Israel. Today: Jumah khutbah talks about asal usul Melayu dan raja"
"28","RT @naliqhasmi: Jerusalem will forever be the capital of Palestine. #jerusalem @Khairykj /Re3GABEQI4"
