"","person"
"1","Your creativity is on fire today, encouraging you to proudly d... More for Leo /nxueSU5HBG"
"2","RT @BallersHype: Kawhi Leonard will make his return Saturday. /JTIKC2xwge"
"3","RT @MailOnline: Revealed: Saudi Crown Prince is the ACTUAL buyer of $450M Leonardo da Vinci painting /0YENNfEIxR"
"4","RT @FCBarcelona:  Leo #Messi finished 2 nd in the 2017 #BallondOrThat's a 3 finish for the last 11 years #ForaBara"
"5","Your creativity is on fire today, encouraging you to proudly d... More for Leo /JKlSj7BR3Y"
"6","Your creativity is on fire today, encouraging you to proudly d... More for Leo /PsAZHmdRdK"
"7","Your creativity is on fire today, encouraging you to proudly d... More for Leo /CUR3j6FlGT"
"8","Your creativity is on fire today, encouraging you to proudly d... More for Leo /9xdj6f6o92"
"9","Your creativity is on fire today, encouraging you to proudly d... More for Leo /EhWT5OBdt5"
"10","Your creativity is on fire today, encouraging you to proudly d... More for Leo /nxyArPc8uS"
"11","Your creativity is on fire today, encouraging you to proudly d... More for Leo /HLaPun0ga1"
"12","RT @DLeonhardt: Brutal CBS poll on tax bill:35% approval24% say it helps their own family, 69% say it helps wealthy54% say it favors big"
"13","Your creativity is on fire today, encouraging you to proudly d... More for Leo /OHLP52M1pG"
"14","Your creativity is on fire today, encouraging you to proudly d... More for Leo /Nh57Gpt26i"
"15","RT @LTLPromo: #LTLPromoPresents @LovexLeon's NEW Single ""Simple"" (Featuring LaChardon) Available On ALL Platforms Listed Below: SoundClo"
"16","RT @LTLPromo: #LTLPromoPresents @LovexLeon's NEW Single ""Simple"" (Featuring LaChardon) Available On ALL Platforms Listed Below: SoundClo"
"17","RT @SajTheOne: When your ex hears that a single #bitcoin is worth $14,000 /44E6LeodRF"
"18","Your creativity is on fire today, encouraging you to proudly d... More for Leo /PAlSwxtNiY"
"19","Your creativity is on fire today, encouraging you to proudly d... More for Leo /H4CaFyOq24"
"20","RT @MajinDew: Omg  this made my day /anTJELeoGD"
"21","RT @LTLPromo: #LTLPromoPresents @LovexLeon's NEW Single ""Simple"" (Featuring LaChardon) Available On ALL Platforms Listed Below: SoundClo"
"22","Crown Prince Mohammed bin Salman of Saudi Arabia was the true buyer of Leonardos Salvator Mundi, officials said /BJB2w6rqx1"
"23","RT @SkyBetChamp: 4 games9 goals@SUFC_tweets Leon Clarke earns @SkyBetChamp Player of the Monthv&gt;&gt; /EYbwWAySpq https://t"
"24","New artwork for sale! - ""Portrait Of Leo Tolstoy"" - /bLMLXBt2sX"
"25","Crown Prince Mohammed bin Salman of Saudi Arabia was the true buyer of Leonardos Salvator Mundi, officials said /9gcBpv2elH"
"26","Your creativity is on fire today, encouraging you to proudly d... More for Leo /jdOWJa2sfS"
"27","Your creativity is on fire today, encouraging you to proudly d... More for Leo /gckBD49efJ"
"28","##Moon transits #Cancer to #Leo on December 8, 2017 at 13:00 UTC.Moon enters #Regulus (Alpha Leonis/ Gabhah / Magh /8Jmy5UI85a"
